Unnamed: 0,OID,PID,NID,Source,Yr_Comp,floors_no,Orig floors_no,socio_eco,label,WIAAM,NOUR,ARAM,NAIM,DAVID,ulabel,IMGAVAL,final_label
20,ACA_21,-999,ACA_4fLjRen5FPiRsTRZVjgVQT,ACA,1953,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
21,ACA_22,-999,ACA_3E3EyfRPuPeqkavmjCiBvN,ACA,1953,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,0,
22,ACA_23,-999,ACA_PPJLRd3siSSCYKdsNbziiV,ACA,1956,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
23,ACA_24,-999,ACA_P7zYFgYpBfv5YF74fyKtMf,ACA,1957,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
24,ACA_25,-999,ACA_GA8hCEY53JY4YjcbsVXbUu,ACA,1957,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
25,ACA_27,-999,ACA_8nekHGVha29fuVbkhpzTSY,ACA,1959,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
26,ACA_28,-999,ACA_5pGjWCDhEQZrV7L9PKpTws,ACA,1960,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
27,ACA_29,-999,ACA_2rCVmYmgFFNSLzogYX4xpd,ACA,1961,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
28,ACA_30,-999,ACA_Fy4nPAURC9EE6b73UgkYWn,ACA,1961,6,-999.0,Approximately 50% low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
29,ACA_33,-999,ACA_BdFduw34EAUNHuHWpi6YKd,ACA,1964,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
30,ACA_34,-999,ACA_GxhdS3GbkhQDHzdXsAdxuR,ACA,1964,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
31,ACA_35,-999,ACA_TbdZGDqG6MCtnKN6gErZ3f,ACA,1964,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
32,ACA_36,-999,ACA_XEzr8QdF5UdhF8bUK6pjUd,ACA,1966,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
33,ACA_37,-999,ACA_4tAkysuK9MhJj9HZBS7Zmd,ACA,1967,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
34,ACA_38,-999,ACA_PH3bYpPPT5TiMwDBQt5Z8u,ACA,1967,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
35,ACA_39,-999,ACA_EQmaC7YXbMVPj4ruxP6kpH,ACA,1968,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
36,ACA_40,-999,ACA_JSZHMXcBsDTjrPnpcyRxu6,ACA,1969,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
37,ACA_41,-999,ACA_RVRrzy6XpRZ5UANUNo3Zds,ACA,1970,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
38,ACA_42,-999,ACA_cGVnk8oGzw22curYY5Yux3,ACA,1971,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
39,ACA_43,-999,ACA_5NTD5z7guYLtCkNxF8VCxc,ACA,1972,-999,-999.0,-999,1972-1990,-999,-999,-999,-999,,1972-1990,0,
40,ACA_44,-999,ACA_KCbRySt59eapVa5eAsKSbP,ACA,1972,8,-999.0,Approximately 50% low-income zone,1972-1990,-999,-999,-999,-999,,1972-1990,0,
41,ACA_45,-999,ACA_C2fUGRRbAEtRkxFjtSffSP,ACA,1974,-999,-999.0,-999,1972-1990,-999,-999,-999,-999,,1972-1990,0,
42,ACA_46,-999,ACA_2wMnn8QGiUJqwWSqN5bH3i,ACA,1991,-999,-999.0,-999,post1990,-999,-999,-999,-999,,post1990,0,
43,ACA_47,-999,ACA_AQ5GkRab8d9YHSzfcZbe8D,ACA,1998,-999,-999.0,-999,post1990,-999,-999,-999,-999,,post1990,0,
44,ACA_48,-999,ACA_QkpC6YdGspxvRfszeccfHj,ACA,2014,-999,-999.0,-999,post1990,-999,-999,-999,-999,,post1990,0,
45,ACA_60,-999,ACA_jQESbLYc6Rsm3RJVYsBgYq,ACA,1974,-999,-999.0,-999,1972-1990,-999,-999,-999,-999,,1972-1990,0,
46,ALG_2,-999,ALG_L4AciwFs9iaADF43o2fPBv,ALG,1932,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
47,ALG_3,-999,ALG_ntLvB9RrdXtrHURmgHT9ph,ALG,1998,-999,-999.0,-999,post1990,-999,-999,-999,-999,,post1990,0,
48,ALG_4,-999,ALG_QfEFe4BSCAg2yscDwLk7pb,ALG,1863,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
49,ALG_5,-999,ALG_o3Y7sXot56sXA94AxBj8zR,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
50,ALG_6,-999,ALG_Qk4XacoPDQpXKWKegBPvUf,ALG,-999,-999,-999.0,-999,-999,pre1935,1935-1955,-999,-999,,1935-1955,1,1935-1955
51,ALG_7,-999,ALG_339JiL5DfTPDLuZVGdEV9v,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,0,
52,ALG_8,-999,ALG_JDhr8TW3riLuzZaoEHN4m9,ALG,1965,-999,-999.0,-999,1956-1971,-999,-999,-999,-999,,1956-1971,0,
53,ALG_9,-999,ALG_SH6goNNVyEMgS4Py3cbMKT,ALG,1920,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
54,ALG_10,-999,ALG_XjHWcHqy8oVJeZSBvPKpGD,ALG,1887,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
55,ALG_11,-999,ALG_ec99pysPfhvYup82ogib2S,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
56,ALG_12,-999,ALG_YKtyqSDyYVtcR2KaFzNdbD,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
57,ALG_13,-999,ALG_kCsY4QYaw8kDZWR4mYz3jd,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
58,ALG_14,-999,ALG_aq7fePjoWtG39jrFQpEHip,ALG,1865,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
59,ALG_15,-999,ALG_UEC4qxQuCeXPeTKPKgpHtb,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
60,ALG_16,-999,ALG_jK6MFhXbFJerojj22KiXbr,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
61,ALG_17,-999,ALG_9SP4EiMv8s4b7p2kVKMM7h,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
62,ALG_18,-999,ALG_kr6xMwoMif5MXipBsDs739,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
63,ALG_19,-999,ALG_R8qpdu48rMVLunZ5rekA4w,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
64,ALG_20,-999,ALG_TS935ubffigKrf2qwWeq6f,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
65,ALG_21,-999,ALG_jpcoh4aNkG2LRU8bmXM2sR,ALG,1873,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
66,ALG_22,-999,ALG_A4o6dyWWH3ZR4CdMFRrB2h,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,0,
67,ALG_23,-999,ALG_YZWXhYyMw9bcyRxYB8ujjh,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
68,ALG_24,-999,ALG_4dFr2yBigFVsUi2XSr3kLx,ALG,-999,-999,-999.0,-999,-999,-999,pre1935,-999,-999,,-999,0,
69,ALG_25,-999,ALG_oRdx2Lv5g8Z4n7WRWnUFbH,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
70,ALG_26,-999,ALG_93m8wktf9uZrhayrqDPJB6,ALG,1920,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
71,ALG_27,-999,ALG_o5dnAbQZZW4C43gcbaJ5dR,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
72,ALG_28,-999,ALG_933ib3WsJfp4Qajo5hTEDq,ALG,1870,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
73,ALG_29,-999,ALG_TdjX7LiVzVJdUvG8tBmbnU,ALG,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
74,ALG_30,-999,ALG_J92B6pd7UXAA6xeuv4ZFZL,ALG,1920,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
75,ALG_31,-999,ALG_Cf4umBKUXMNYbBDT8xWb9W,ALG,-999,3,-999.0,Approximately 50% low-income zone,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
76,ALG_32,-999,ALG_e3jPxqigV9LjYK3rZbaq8H,ALG,1932,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
77,ALG_33,-999,ALG_beRHasXv3Abu28Tt9Qf5eZ,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
78,ALG_34,-999,ALG_kuYRPwaBSMBoLHuiXGePcy,ALG,1870,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
79,ALG_35,-999,ALG_CBAeDhxkkv6AkqCp7axtuS,ALG,1935,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
80,ALG_36,-999,ALG_7oJPyZK6Wkvho49fiNSyXU,ALG,-999,-999,-999.0,-999,-999,pre1935,-999,-999,1935-1955,,1935-1955,1,1935-1955
81,ALG_37,-999,ALG_jmjJ3T7sEn4EoQLiBYLX4D,ALG,1924,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
82,ALG_38,-999,ALG_gSSDvD4KxonfeNgHm4NGbk,ALG,1597,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
83,ALG_39,-999,ALG_asbL5P4dUuqfA7zT6waYc6,ALG,1767,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
84,ALG_40,-999,ALG_edGtS2UrRgw7nGZcTm3HUS,ALG,1927,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
85,ALG_41,-999,ALG_fcUe8UJ9wJpRCbhAHkAqXU,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
86,ALG_42,-999,ALG_MmH8b67vbKqDj6Px37qSRh,ALG,1957,3,-999.0,Approximately 50% low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,0,
87,ALG_43,-999,ALG_n3U2EMe75i4GrWRqFfFi3Q,ALG,1882,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
88,ALG_44,-999,ALG_ZnAK8a88LwpVNSKJvQ4BY9,ALG,1700,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
89,ALG_45,-999,ALG_Brpq6NDaVanxbedGwATtV2,ALG,-999,3,-999.0,Approximately 50% low-income zone,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
90,ALG_46,-999,ALG_5PZ8zX83cTqrtJYQkipYJp,ALG,1860,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
91,ALG_47,-999,ALG_N79LLzmYLaAuwvU3ks599J,ALG,1875,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
92,ALG_48,-999,ALG_Wu55ZSEjgjVvvRPDVTorJ8,ALG,1890,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
93,ALG_49,-999,ALG_df3GWaVeJc6Nw8RRM8nW5F,ALG,1930,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,pre1935,,pre1935,1,pre1935
94,ALG_50,-999,ALG_beTUsq9CzYiWHmQvYxhLY4,ALG,1920,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
95,ALG_51,-999,ALG_VioLKorqbdPGbBz2fzjPFB,ALG,-999,-999,-999.0,-999,-999,1935-1955,1935-1955,-999,-999,,1935-1955,1,1935-1955
96,ALG_52,-999,ALG_YZSMStjjEjNZeAsXoK5BBY,ALG,1870,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
97,ALG_54,-999,ALG_4CsnHoWBZJ6Gmr4KAcztn8,ALG,1880,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
98,ALG_55,-999,ALG_LUvywdYmeV27amm9igX4zd,ALG,-999,-999,-999.0,-999,-999,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
99,ALG_56,-999,ALG_BB9ZNkftCGfyRKf9UGkp9s,ALG,1909,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
100,ALG_57,-999,ALG_MjQrWSZMXiYinH5ZXq5Kng,ALG,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
101,1,Re_1018,Assi_CttknNoSpFRQT49GUUpdZH,Assi,1920,-999,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
102,2,Ma_1289,Assi_JaaByhMMVeVbf5chahVLwd,Assi,1930,3,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
103,3,Ma_2558,Assi_HKqQvpiJdQwSrzgVNc4eQg,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
104,4,Ac_1156,Assi_K2ctATuubhzFF8mshQ4ZcZ,Assi,1930,-999,-999.0,Not low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
105,5,Ac_696,Assi_Z9o7ae5dEMt7FvHyHczsT4,Assi,1930,-999,-999.0,Not low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
106,6,Ac_2205,Assi_YYxVoD8nursmhtaLDTkhdt,Assi,1930,-999,-999.0,Not low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
107,7,Re_891,Assi_dw3uaT3qkkTC2viaUVZCYR,Assi,1930,2,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
108,8,Ac_681,Assi_2aSdU8zhXmVSVnhEHNcJNF,Assi,1930,-999,-999.0,Not low-income zone,pre1935,-999,-999,-999,-999,,pre1935,0,
109,9,-999,Assi_LjoWTjFZNjQUjouoHvSrSf,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
110,10,-999,Assi_MZ8hA5z3iUYSKiqvXEuhiC,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
111,11,-999,Assi_ZL4n828kGyAJWh8cbY8Dcb,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
112,12,Ac_2260,Assi_D9bkQWTXkwvg8CdSx7g2PD,Assi,1930,3,-999.0,Not low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
113,13,-999,Assi_ix6N9yqtF3PRVRvRoafCi2,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
114,14,-999,Assi_hxREchKzGoFmezomuaYscu,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
115,15,-999,Assi_J3jfJ3EaV5Ts5ekdRPM8bQ,Assi,1930,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
116,16,Re_1694,Assi_bcfnMHhnZfW926N7Y9dpvb,Assi,1930,-999,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
117,17,Ac_107,Assi_BfzMJ34cD8UX3wn7kzu8PS,Assi,1930,-999,-999.0,Approximately 50% low-income zone,pre1935,-999,-999,-999,-999,,pre1935,1,pre1935
118,18,Re_1126,Assi_4CHEUgjVeEeS87aGsUtWRj,Assi,1940,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
119,19,Re_1233,Assi_kYkoU8QRGWTSBY4pRHF55m,Assi,1940,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
120,20,Re_1389,Assi_fkfMLrTcuR6jdT6Ai6CFNB,Assi,1940,4,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
121,21,Me_721,Assi_MSKzaDqfN6p9XcjubG4zcB,Assi,1940,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
122,22,Re_1005,Assi_FykndaJnkcSzyHUSUvffsy,Assi,1940,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
123,23,Ac_687,Assi_PczhwofYwuYENLLmVzWvZd,Assi,1950,-999,-999.0,Not low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
124,24,Ac_2756,Assi_5RdHqARiLUMF8mYdZ4dbfd,Assi,1950,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
125,25,Ac_2455,Assi_mrrdSah2xJDfahZfdEAxEE,Assi,1950,-999,-999.0,Not low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
126,26,Ma_5131,Assi_PDka3cf4LBxk3CxQYVYdLF,Assi,1950,-999,-999.0,Majority low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
127,27,Ac_2650,Assi_MDw2zcUPLAm9g8bo7Y69Y8,Assi,1950,-999,-999.0,Not low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
128,28,Ac_1030,Assi_UUWQiNpkjiSh8GBWm58J3A,Assi,1950,-999,-999.0,Not low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
129,29,Ac_4037,Assi_Cn9CMGTeZAT43CWxk4nZ76,Assi,1950,-999,-999.0,Majority low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
130,30,Ma_5412,Assi_3JtDWY3mujSejEoR9MNdVw,Assi,1950,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
131,31,Ma_5132,Assi_NaAkPN4Ygn3MYTB7gQd8NR,Assi,1950,5,-999.0,Majority low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
132,32,Ma_5136,Assi_MTMAkdtMkqaffrSauZRH5G,Assi,1950,5,-999.0,Majority low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1956-1971
133,33,Ac_4391,Assi_YgKXTwDRHZgFGusgE9898f,Assi,1950,4,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
134,34,Ac_118,Assi_FmJMk5MaVKGDxyxXsrXibo,Assi,1950,-999,-999.0,Approximately 50% low-income zone,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
135,35,Ac_4481,Assi_69HUhoExGkAJnbmk49XiCj,Assi,1960,3,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,0,
136,36,Ra_2894,Assi_dCttUWDu55gAs7LMDjTPbz,Assi,1960,6,-999.0,Not low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
137,37,Ra_1090,Assi_dUogyeom6Vk68rPSvaZPha,Assi,1960,-999,-999.0,Not low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
138,38,Ma_5129,Assi_XegQaPG6KvRrQWNopcEu6Y,Assi,1960,-999,-999.0,Majority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
139,39,Ma_4788,Assi_AfSTPjyKz6yrhHAZHBzvDD,Assi,1960,-999,-999.0,Majority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
140,40,Ma_5147,Assi_VkNhzGrTW6E6nUZxAjc4B2,Assi,1960,-999,-999.0,Approximately 50% low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
141,41,Ma_5203,Assi_CJ38QVNZrY4roZ4AEv9N6D,Assi,1960,-999,-999.0,Majority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
142,42,Ma_5505,Assi_bKWTniTzgJC2ymiHh5hxVP,Assi,1960,-999,-999.0,Majority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
143,43,Ac_367,Assi_XuGg2UjqgwwAezAJ7WHqsD,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
144,44,Ac_382,Assi_fe7psM4ByeRZoUiacYK3AV,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
145,45,Ac_395,Assi_oPqJLwRuEEf6jtEdME5bZA,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
146,46,Ac_4434,Assi_VXuaByMQoetawcKdtZVncD,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
147,47,Ac_4634,Assi_LJEay63Qd8J9ezc9dQVto5,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
148,48,Ac_4636,Assi_mGtrbnx7QVBHDM5ZtfqKon,Assi,1960,-999,-999.0,Minority low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
149,49,-999,Assi_6abQ2bAQ2HrRFUEvmxJqEg,Assi,1950,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
150,50,-999,Assi_cZScXoErUDRdyj3DaLjD9D,Assi,1960,6,-999.0,Approximately 50% low-income zone,1956-1971,-999,-999,-999,-999,,1956-1971,1,1956-1971
151,BHI_1,-999,BHI_4H22RiuHQiXUYUWTdeB3yz,BHI,-999,-999,-999.0,-999,pre1935,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
152,BHI_10,-999,BHI_ZV3po9XY9eH2CSCbT5koUY,BHI,-999,-999,-999.0,-999,pre1935,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
153,BHI_11,-999,BHI_VnPRh4J48xAaArcuDwUQB7,BHI,-999,-999,-999.0,-999,pre1935,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
154,BHI_12,-999,BHI_HTjY3swLNjVVN5zxjE4tqi,BHI,-999,-999,-999.0,-999,pre1935,pre1935,pre1935,-999,-999,,pre1935,1,pre1935
155,BHI_13,-999,BHI_WTCDbL3NzZvubT3YTwvouR,BHI,-999,3,-999.0,Approximately 50% low-income zone,pre1935,pre1935,1935-1955,-999,-999,,pre1935,1,1935-1955
