NID,Source,floors_no,socio_eco,label,has_image,has_tabular
ALG_BB9ZNkftCGfyRKf9UGkp9s,ALG,,,pre1935,True,False
ALG_MjQrWSZMXiYinH5ZXq5Kng,ALG,,,pre1935,True,False
Assi_CttknNoSpFRQT49GUUpdZH,Assi,,Approximately 50% low-income zone,pre1935,True,False
Assi_JaaByhMMVeVbf5chahVLwd,Assi,3.0,Approximately 50% low-income zone,pre1935,True,True
Assi_HKqQvpiJdQwSrzgVNc4eQg,Assi,,,pre1935,True,False
Assi_K2ctATuubhzFF8mshQ4ZcZ,Assi,,Not low-income zone,pre1935,False,False
Assi_Z9o7ae5dEMt7FvHyHczsT4,Assi,,Not low-income zone,pre1935,True,False
Assi_YYxVoD8nursmhtaLDTkhdt,Assi,,Not low-income zone,pre1935,False,False
Assi_dw3uaT3qkkTC2viaUVZCYR,Assi,2.0,Approximately 50% low-income zone,pre1935,True,True
Assi_2aSdU8zhXmVSVnhEHNcJNF,Assi,,Not low-income zone,pre1935,False,False
Assi_LjoWTjFZNjQUjouoHvSrSf,Assi,,,pre1935,True,False
Assi_MZ8hA5z3iUYSKiqvXEuhiC,Assi,,,pre1935,False,False
Assi_ZL4n828kGyAJWh8cbY8Dcb,Assi,,,pre1935,True,False
Assi_D9bkQWTXkwvg8CdSx7g2PD,Assi,3.0,Not low-income zone,pre1935,True,True
Assi_ix6N9yqtF3PRVRvRoafCi2,Assi,,,pre1935,True,False
Assi_hxREchKzGoFmezomuaYscu,Assi,,,pre1935,True,False
Assi_J3jfJ3EaV5Ts5ekdRPM8bQ,Assi,,,pre1935,True,False
Assi_bcfnMHhnZfW926N7Y9dpvb,Assi,,Approximately 50% low-income zone,pre1935,True,False
Assi_BfzMJ34cD8UX3wn7kzu8PS,Assi,,Approximately 50% low-income zone,pre1935,True,False
Assi_4CHEUgjVeEeS87aGsUtWRj,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_kYkoU8QRGWTSBY4pRHF55m,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_fkfMLrTcuR6jdT6Ai6CFNB,Assi,4.0,Approximately 50% low-income zone,1935-1955,True,True
Assi_MSKzaDqfN6p9XcjubG4zcB,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_FykndaJnkcSzyHUSUvffsy,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_PczhwofYwuYENLLmVzWvZd,Assi,,Not low-income zone,1935-1955,True,False
Assi_5RdHqARiLUMF8mYdZ4dbfd,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_mrrdSah2xJDfahZfdEAxEE,Assi,,Not low-income zone,1935-1955,True,False
Assi_PDka3cf4LBxk3CxQYVYdLF,Assi,,Majority low-income zone,1935-1955,True,False
Assi_MDw2zcUPLAm9g8bo7Y69Y8,Assi,,Not low-income zone,1935-1955,True,False
Assi_UUWQiNpkjiSh8GBWm58J3A,Assi,,Not low-income zone,1935-1955,True,False
Assi_Cn9CMGTeZAT43CWxk4nZ76,Assi,,Majority low-income zone,1935-1955,True,False
Assi_3JtDWY3mujSejEoR9MNdVw,Assi,,,1935-1955,True,False
Assi_NaAkPN4Ygn3MYTB7gQd8NR,Assi,5.0,Majority low-income zone,1935-1955,True,True
Assi_MTMAkdtMkqaffrSauZRH5G,Assi,5.0,Majority low-income zone,1935-1955,True,True
Assi_YgKXTwDRHZgFGusgE9898f,Assi,4.0,Approximately 50% low-income zone,1935-1955,True,True
Assi_FmJMk5MaVKGDxyxXsrXibo,Assi,,Approximately 50% low-income zone,1935-1955,True,False
Assi_69HUhoExGkAJnbmk49XiCj,Assi,3.0,Minority low-income zone,1956-1971,False,True
Assi_dCttUWDu55gAs7LMDjTPbz,Assi,6.0,Not low-income zone,1956-1971,True,True
Assi_dUogyeom6Vk68rPSvaZPha,Assi,,Not low-income zone,1956-1971,True,False
Assi_XegQaPG6KvRrQWNopcEu6Y,Assi,,Majority low-income zone,1956-1971,True,False
Assi_AfSTPjyKz6yrhHAZHBzvDD,Assi,,Majority low-income zone,1956-1971,True,False
Assi_VkNhzGrTW6E6nUZxAjc4B2,Assi,,Approximately 50% low-income zone,1956-1971,True,False
Assi_CJ38QVNZrY4roZ4AEv9N6D,Assi,,Majority low-income zone,1956-1971,True,False
Assi_bKWTniTzgJC2ymiHh5hxVP,Assi,,Majority low-income zone,1956-1971,True,False
Assi_XuGg2UjqgwwAezAJ7WHqsD,Assi,,Minority low-income zone,1956-1971,True,False
Assi_fe7psM4ByeRZoUiacYK3AV,Assi,,Minority low-income zone,1956-1971,True,False
Assi_oPqJLwRuEEf6jtEdME5bZA,Assi,,Minority low-income zone,1956-1971,True,False
Assi_VXuaByMQoetawcKdtZVncD,Assi,,Minority low-income zone,1956-1971,True,False
Assi_LJEay63Qd8J9ezc9dQVto5,Assi,,Minority low-income zone,1956-1971,True,False
Assi_mGtrbnx7QVBHDM5ZtfqKon,Assi,,Minority low-income zone,1956-1971,True,False
Assi_6abQ2bAQ2HrRFUEvmxJqEg,Assi,,,1935-1955,True,False
Assi_cZScXoErUDRdyj3DaLjD9D,Assi,6.0,Approximately 50% low-income zone,1956-1971,True,True
BHI_4H22RiuHQiXUYUWTdeB3yz,BHI,,,pre1935,True,False
BHI_ZV3po9XY9eH2CSCbT5koUY,BHI,,,pre1935,True,False
BHI_VnPRh4J48xAaArcuDwUQB7,BHI,,,pre1935,True,False
BHI_HTjY3swLNjVVN5zxjE4tqi,BHI,,,pre1935,True,False
BHI_WTCDbL3NzZvubT3YTwvouR,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True
BHI_YhzsoV76Ly2a8Po2H83KPk,BHI,,,pre1935,True,False
BHI_LKbhoXmK6N3MSRaDZeEDCe,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True
BHI_3Ay79o3K7Hy9jXMtVnyeK6,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True
BHI_Eosk8ZXAo5AtNegyioXDZi,BHI,,,pre1935,True,False
BHI_bKAf6eT2dhhnJsoFGUbntX,BHI,,,pre1935,True,False
BHI_Zr5VGjHonPKnKxGR8yZHvL,BHI,,,pre1935,True,False
BHI_GhJuW9SV3PUciEyyhEjR4W,BHI,,,pre1935,True,False
BHI_XXxxQPVfUAxh6DQ75VA3uV,BHI,,,pre1935,True,False
BHI_auVa2vBsarxevFNSmSQmHd,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True
BHI_C5CYrd3VznYexZvAm96wHg,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True
BHI_EEr7QSNhmzxKyVs9iHeYib,BHI,,,pre1935,True,False
BHI_evS6UA88U9CgfphJj9jyC2,BHI,,,pre1935,True,False
BHI_cG6BQnriwe3mZbwySD9ufr,BHI,,,pre1935,True,False
BUL_4isodWKubc4ghYCRb6xjym,BUL,5.0,Not low-income zone,post1990,True,True
BUL_kuiKJEuvSSHBNRRLnLyqeu,BUL,4.0,Not low-income zone,post1990,True,True
BUL_Nesj58eUoQaf8Y3AMc8QuX,BUL,6.0,Not low-income zone,post1990,True,True
BUL_T5AnhAYpVaodxKarcMqUZv,BUL,4.0,Minority low-income zone,post1990,True,True
BUL_g9Z2xRngXph8Qasx3ppHkU,BUL,7.0,Minority low-income zone,post1990,True,True
BUL_issb5svoL95hrcrDkEc3Mw,BUL,2.0,Minority low-income zone,post1990,False,True
BUL_hJk76N5rYjTPVtzynLo5TQ,BUL,4.0,Minority low-income zone,post1990,True,True
BUL_HrryiY8xvVruNRnLRAeoYi,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_gc5RTnePWgbj2tmoswvpA6,BUL,,,post1990,True,False
BUL_5GAXw6FfSRaqvGF7LiEXDy,BUL,14.0,Minority low-income zone,post1990,True,True
BUL_4WECDtapKYE3iK3mmMjthr,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_4DktZMrzywaHP59h4NW5Mj,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_AHLZ6Dk5MzdQZz8Zz487BQ,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_WX2UFQEZQcoFmR3ay8ExsM,BUL,15.0,Majority low-income zone,post1990,True,True
BUL_mEM6B6MhGmVbTopMwdukS4,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_XX8SMZxnsFz57xJnEZLdJ2,BUL,8.0,Majority low-income zone,1956-1971,True,True
BUL_66kLvtfrakYYQFRBb2xnE2,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_Arng5rSjPbmRLEM4VwHQJV,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_BitXoR8Zk7xrhXHSyDNmY7,BUL,7.0,Majority low-income zone,post1990,True,True
BUL_GPSSFyEzVveejDrqVNwh93,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_XfpqqHna8HKNBLXayac9wP,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_LvLys3hhYLqKXs29rxSpFH,BUL,9.0,Majority low-income zone,1956-1971,True,True
BUL_i2xf5MpG5c98xSrWh6VJP3,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_3FiNczBzzU5eoVLyhC2EjS,BUL,6.0,Majority low-income zone,1935-1955,True,True
BUL_2Gf82263WKApfQx4w822HW,BUL,,Not low-income zone,1972-1990,True,False
BUL_AqTXtqUfjYM4Pn64V7VN2B,BUL,4.0,Not low-income zone,post1990,True,True
BUL_RNuN2E73U49iHsGqkibcAH,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_n3imcySpmFoFN3zbU4aCZ7,BUL,12.0,Minority low-income zone,post1990,True,True
BUL_YzRtpxgxgk8GHz5ESwHTas,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_5i3dwdamqM8p6NC2CAbShT,BUL,13.0,Minority low-income zone,post1990,True,True
BUL_Vq9uMMsqMX8vqN8JjNFAPR,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_A5opFwBMT3rXupBBnMrL24,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_E3iGL8ZbQHynBUJMCNir9m,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_XWswdPBKiAKMKHFBbmv2Xv,BUL,11.0,Minority low-income zone,post1990,False,True
BUL_nUvFDpJdhr5c6Fav5bPPUL,BUL,,Minority low-income zone,post1990,True,False
BUL_UfsRTVErv7pJnG826bByUq,BUL,8.0,Minority low-income zone,post1990,True,True
BUL_HWT5E4oWHk5dA4hnGc9TXy,BUL,10.0,Minority low-income zone,post1990,False,True
BUL_Qayaei8LmRMm8psY3WhV78,BUL,9.0,Minority low-income zone,post1990,True,True
BUL_edZHCGAPZznkWQf7uxWfrd,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_d7gRAGtisnyVVYc83a5kHk,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_PXjBYwS4mh62tc4oSAQvT9,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_cv7ULpmuRDLgoCy9hXXfe9,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_WbD38UrqtgLd9SRp4Quc4v,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_PzAzcyEkeM8giXqSp3ETM9,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_M362BqYcGT7m3GpFWnRYDT,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_jP2huU7GD9gNJyxzZUtbWL,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_U2JfJspPVqpAXxa7iWEzMk,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_a9jqscCESpkdRUtyA5zqMd,BUL,16.0,Majority low-income zone,post1990,True,True
BUL_edrt2KAAyDkrYFWwACcNVJ,BUL,12.0,Majority low-income zone,1972-1990,True,True
BUL_7emHPnT9TNG3xkwQUB9mQC,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_4FLBmAkoy4w9wn35oCvFoH,BUL,8.0,Majority low-income zone,post1990,True,True
BUL_kEBbn8HLJUGasgCnWrRoDD,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_Gokz2xFzk3JdpCkyWv23sW,BUL,7.0,Majority low-income zone,post1990,True,True
BUL_Pc9YhRNysoLoituoopHUrC,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_hEqbqnUHntzziamwinR8tY,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_6VziAXEoKEdQrHZLHx5ZwQ,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_Su3evqSnCF264i9Mn96PKw,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_Bi33WyfHFn68gQRzjtTsm3,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_9Rc7LTbf2VjE5tVgemSraX,BUL,10.0,Majority low-income zone,1972-1990,True,True
BUL_MyeUciXM2g3fXmGQoTvnne,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_UN9GdzRkcaPpEzMf76YXLs,BUL,8.0,Majority low-income zone,post1990,True,True
BUL_LFDyFrejcDYxY5jDuxXTxJ,BUL,8.0,Majority low-income zone,post1990,True,True
BUL_nGR9yjYxx4WDERKN3uZBF9,BUL,8.0,Majority low-income zone,post1990,True,True
BUL_6ofoDGppWcxX7TaTFYSPCH,BUL,8.0,Majority low-income zone,1972-1990,True,True
BUL_QWmCAJzhBGaKLBhEnSLwfY,BUL,,Majority low-income zone,1956-1971,True,False
BUL_nEWqX6fhQjARz7qiHVac4i,BUL,,Majority low-income zone,1956-1971,True,False
BUL_6TzJzV8TGKxqbEoLkEkyaN,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_Cnc46upkJE5jQZpbFVHapf,BUL,7.0,Majority low-income zone,post1990,True,True
BUL_Hfy2kpFYVMsz4Za8ksk3wp,BUL,8.0,Majority low-income zone,post1990,True,True
BUL_n7VMbvVBAohxW5hsBathzW,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_BtaS4GtPvEFkbFoNe2nkAd,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_NHdFU5cV6gSHuqMe4axZ5h,BUL,,Majority low-income zone,1972-1990,True,False
BUL_jY3dyW4SjiZkMn5EFpnFqp,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_hSpUdWRDrNP3tEK9iGFy2q,BUL,9.0,Majority low-income zone,1972-1990,True,True
BUL_C5cigAHjcLvcKywhPwu6jn,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_gPjBaQk4nM8vaxY4etF5Xd,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_Z2wckSQtNj6xLwWP9MFoFT,BUL,6.0,Minority low-income zone,post1990,True,True
BUL_S4GvgAJdq8btq4ZrR34zQn,BUL,8.0,Minority low-income zone,post1990,True,True
BUL_HaohDYr5EsFXiasUqfafDc,BUL,10.0,Minority low-income zone,post1990,True,True
BUL_X63mYMeA64dtCBsSqcJbmz,BUL,,Majority low-income zone,post1990,True,False
BUL_DDaNzSRcuM4dUX7JfD6onT,BUL,15.0,Majority low-income zone,post1990,True,True
BUL_AjYXV5bY6dXg5CCAM7ypLV,BUL,8.0,Majority low-income zone,1972-1990,True,True
BUL_AihtTGCgqQafEpAiBcAzjc,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_62XJbPEyvvPwq4m8MbgkYY,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_YpdSxD5pCv6UoRYDXjGCMA,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_UzneMN5qtGGfh9FsiLhH33,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_cSkaKPJo386FnKQTRsugpf,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_mFtqjS2EJzVXv8Y438T3ZM,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_B3fDDpvLR6wH3skbU7shvV,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_RysCdjyxbFGJ5Ts4MPZ7zQ,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_YraPEtcHhuVJL6fhbFFJwM,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_PJSBJCKKck2y9EQWtRVeN9,BUL,,Majority low-income zone,post1990,True,False
BUL_hTEYCz32h5bf6s8xpuMa7b,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_T9RsKsah6sLF5XmWKsDrxY,BUL,13.0,Majority low-income zone,post1990,True,True
BUL_2y6xeJsRtYLkRJz3YrAaco,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_6WC9c6Ya9z5tSFWhRqXkuK,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_m8fVbqYAQkPCuWdHTTVr3d,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_aaeww4G7rmPXby4tcPWTUa,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_dgYRfX6BkBw2WbuQXdZZRz,BUL,15.0,Majority low-income zone,post1990,True,True
BUL_7TaedZ8ryUP8LkCDVSwGvv,BUL,9.0,,post1990,False,False
BUL_WhWR27iJFjBt6akZjPuGoB,BUL,13.0,Majority low-income zone,post1990,True,True
BUL_ieATMmUcc5z28L2a3Ey3Nm,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_BbNeynDEofCn8k3p3DF9jQ,BUL,,,post1990,True,False
BUL_HjBoyWag3FymQCsUQin57v,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_7BMtxsPTfpAcb72DhVRFdJ,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_d3TEWEbehrwoG6JCqinrEE,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_fweH8iDpKqyJawGBqrfzqV,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_nhJBr3uTHsqraRL9qFbyM5,BUL,10.0,Majority low-income zone,post1990,True,True
BUL_57cBsMpkgpHUE9Q8w5QgPi,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_UoGQxEbCnicAt8oXkGsztD,BUL,7.0,Minority low-income zone,post1990,True,True
BUL_ViLVuxSk6dSBYB83gJTrCC,BUL,11.0,Majority low-income zone,post1990,True,True
BUL_izeJ3ZZaTipwSm5mDox6D7,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_Vb9puC4W7rgrUUrUpSvZTx,BUL,2.0,Majority low-income zone,pre1935,True,True
BUL_Kpuxg2RLyfsYVZExtWeaoX,BUL,9.0,Majority low-income zone,post1990,True,True
BUL_HLdPUhUnxSWMUPgsVkcJEV,BUL,3.0,Majority low-income zone,1935-1955,False,True
BUL_VZd27gAEhw8DhqdLnJ98De,BUL,14.0,Minority low-income zone,post1990,True,True
BUL_SkJpx7EqKu9NvBDdm8Lqmk,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_4DcWpDFwT8r89nzDN4oguB,BUL,14.0,Not low-income zone,post1990,True,True
BUL_7LMg4TJsxuxBXgYxvfJYzU,BUL,13.0,Minority low-income zone,post1990,True,True
BUL_2ZMB6mSWbuYEaf6uTM5XZR,BUL,7.0,Minority low-income zone,post1990,True,True
BUL_Ni4cMakpGa5WsrgsG4V8b7,BUL,11.0,Minority low-income zone,post1990,True,True
BUL_Fnbq4XAPj7barBAA3dqpSo,BUL,14.0,Minority low-income zone,post1990,True,True
BUL_R82SdjDEXi4mTfi5PZvWzB,BUL,10.0,Approximately 50% low-income zone,post1990,True,True
BUL_RFnKJyrUHnJU93cEjjzyTs,BUL,10.0,Majority low-income zone,1956-1971,True,True
BUL_H7t3eJxt3eftZxyRKji2n8,BUL,7.0,Majority low-income zone,post1990,True,True
BUL_YDeq8fvFTXuZihFDLksYvH,BUL,12.0,Majority low-income zone,post1990,True,True
BUL_9fYXdTGSkBbseYKp7La3We,BUL,11.0,Majority low-income zone,post1990,True,True
