NID,Source,floors_no,socio_eco,label,has_image,has_tabular,in_dataset_1,in_dataset_2,split,is_augmented,is_undersampled
ACA_KCbRySt59eapVa5eAsKSbP,ACA,8.0,Approximately 50% low-income zone,1972-1990,False,True,False,False,train,False,False
ACA_C2fUGRRbAEtRkxFjtSffSP,ACA,,,1972-1990,False,False,False,False,train,False,False
ACA_2wMnn8QGiUJqwWSqN5bH3i,ACA,,,post1990,False,False,False,False,train,False,False
ACA_AQ5GkRab8d9YHSzfcZbe8D,ACA,,,post1990,False,False,False,False,train,False,False
ACA_QkpC6YdGspxvRfszeccfHj,ACA,,,post1990,False,False,False,False,train,False,False
ACA_jQESbLYc6Rsm3RJVYsBgYq,ACA,,,1972-1990,False,False,False,False,train,False,False
ALG_L4AciwFs9iaADF43o2fPBv,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_ntLvB9RrdXtrHURmgHT9ph,ALG,,,post1990,False,False,False,False,train,False,False
ALG_QfEFe4BSCAg2yscDwLk7pb,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_o3Y7sXot56sXA94AxBj8zR,ALG,,,pre1935,True,False,False,True,val,False,False
ALG_Qk4XacoPDQpXKWKegBPvUf,ALG,,,1935-1955,True,False,False,True,train,False,False
ALG_339JiL5DfTPDLuZVGdEV9v,ALG,,,pre1935,False,False,False,False,val,False,False
ALG_JDhr8TW3riLuzZaoEHN4m9,ALG,,,1956-1971,False,False,False,False,train,False,False
ALG_SH6goNNVyEMgS4Py3cbMKT,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
ALG_XjHWcHqy8oVJeZSBvPKpGD,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True,False,False,train,False,False
ALG_ec99pysPfhvYup82ogib2S,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_YKtyqSDyYVtcR2KaFzNdbD,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_kCsY4QYaw8kDZWR4mYz3jd,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_aq7fePjoWtG39jrFQpEHip,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_UEC4qxQuCeXPeTKPKgpHtb,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_jK6MFhXbFJerojj22KiXbr,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_9SP4EiMv8s4b7p2kVKMM7h,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_kr6xMwoMif5MXipBsDs739,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_R8qpdu48rMVLunZ5rekA4w,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_TS935ubffigKrf2qwWeq6f,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_jpcoh4aNkG2LRU8bmXM2sR,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_A4o6dyWWH3ZR4CdMFRrB2h,ALG,,,pre1935,False,False,False,False,train,False,False
ALG_YZWXhYyMw9bcyRxYB8ujjh,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_oRdx2Lv5g8Z4n7WRWnUFbH,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_93m8wktf9uZrhayrqDPJB6,ALG,,,pre1935,True,False,False,True,val,False,False
ALG_o5dnAbQZZW4C43gcbaJ5dR,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_933ib3WsJfp4Qajo5hTEDq,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True,False,False,train,False,False
ALG_TdjX7LiVzVJdUvG8tBmbnU,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_J92B6pd7UXAA6xeuv4ZFZL,ALG,,,pre1935,False,False,False,False,val,False,False
ALG_Cf4umBKUXMNYbBDT8xWb9W,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
ALG_e3jPxqigV9LjYK3rZbaq8H,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_beRHasXv3Abu28Tt9Qf5eZ,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_kuYRPwaBSMBoLHuiXGePcy,ALG,,,pre1935,True,False,False,True,val,False,False
ALG_CBAeDhxkkv6AkqCp7axtuS,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_7oJPyZK6Wkvho49fiNSyXU,ALG,,,1935-1955,True,False,False,True,train,False,False
ALG_jmjJ3T7sEn4EoQLiBYLX4D,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True,False,False,train,False,False
ALG_gSSDvD4KxonfeNgHm4NGbk,ALG,,,pre1935,False,False,False,False,train,False,False
ALG_asbL5P4dUuqfA7zT6waYc6,ALG,,,pre1935,False,False,False,False,train,False,False
ALG_edGtS2UrRgw7nGZcTm3HUS,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_fcUe8UJ9wJpRCbhAHkAqXU,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_MmH8b67vbKqDj6Px37qSRh,ALG,3.0,Approximately 50% low-income zone,1956-1971,False,True,False,False,val,False,False
ALG_n3U2EMe75i4GrWRqFfFi3Q,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
ALG_ZnAK8a88LwpVNSKJvQ4BY9,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_Brpq6NDaVanxbedGwATtV2,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,test,False,False
ALG_5PZ8zX83cTqrtJYQkipYJp,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_N79LLzmYLaAuwvU3ks599J,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
ALG_Wu55ZSEjgjVvvRPDVTorJ8,ALG,,,pre1935,False,False,False,False,train,False,False
ALG_df3GWaVeJc6Nw8RRM8nW5F,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
ALG_beTUsq9CzYiWHmQvYxhLY4,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_VioLKorqbdPGbBz2fzjPFB,ALG,,,1935-1955,True,False,False,True,train,False,False
ALG_YZSMStjjEjNZeAsXoK5BBY,ALG,,,pre1935,False,False,False,False,train,False,False
ALG_4CsnHoWBZJ6Gmr4KAcztn8,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_LUvywdYmeV27amm9igX4zd,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_BB9ZNkftCGfyRKf9UGkp9s,ALG,,,pre1935,True,False,False,True,train,False,False
ALG_MjQrWSZMXiYinH5ZXq5Kng,ALG,,,pre1935,True,False,False,True,train,False,False
Assi_CttknNoSpFRQT49GUUpdZH,Assi,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Assi_JaaByhMMVeVbf5chahVLwd,Assi,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
Assi_HKqQvpiJdQwSrzgVNc4eQg,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_K2ctATuubhzFF8mshQ4ZcZ,Assi,,Not low-income zone,pre1935,False,False,False,False,train,False,False
Assi_Z9o7ae5dEMt7FvHyHczsT4,Assi,,Not low-income zone,pre1935,True,False,False,True,train,False,False
Assi_YYxVoD8nursmhtaLDTkhdt,Assi,,Not low-income zone,pre1935,False,False,False,False,train,False,False
Assi_dw3uaT3qkkTC2viaUVZCYR,Assi,2.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
Assi_2aSdU8zhXmVSVnhEHNcJNF,Assi,,Not low-income zone,pre1935,False,False,False,False,val,False,False
Assi_LjoWTjFZNjQUjouoHvSrSf,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_MZ8hA5z3iUYSKiqvXEuhiC,Assi,,,pre1935,False,False,False,False,train,False,False
Assi_ZL4n828kGyAJWh8cbY8Dcb,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_D9bkQWTXkwvg8CdSx7g2PD,Assi,3.0,Not low-income zone,pre1935,True,True,True,True,test,False,False
Assi_ix6N9yqtF3PRVRvRoafCi2,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_hxREchKzGoFmezomuaYscu,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_J3jfJ3EaV5Ts5ekdRPM8bQ,Assi,,,pre1935,True,False,False,True,train,False,False
Assi_bcfnMHhnZfW926N7Y9dpvb,Assi,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Assi_BfzMJ34cD8UX3wn7kzu8PS,Assi,,Approximately 50% low-income zone,pre1935,True,False,False,True,train,False,False
Assi_4CHEUgjVeEeS87aGsUtWRj,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_kYkoU8QRGWTSBY4pRHF55m,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_fkfMLrTcuR6jdT6Ai6CFNB,Assi,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
Assi_MSKzaDqfN6p9XcjubG4zcB,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,val,False,False
Assi_FykndaJnkcSzyHUSUvffsy,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_PczhwofYwuYENLLmVzWvZd,Assi,,Not low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_5RdHqARiLUMF8mYdZ4dbfd,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_mrrdSah2xJDfahZfdEAxEE,Assi,,Not low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_PDka3cf4LBxk3CxQYVYdLF,Assi,,Majority low-income zone,1935-1955,True,False,False,True,val,False,False
Assi_MDw2zcUPLAm9g8bo7Y69Y8,Assi,,Not low-income zone,1935-1955,True,False,False,True,val,False,False
Assi_UUWQiNpkjiSh8GBWm58J3A,Assi,,Not low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_Cn9CMGTeZAT43CWxk4nZ76,Assi,,Majority low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_3JtDWY3mujSejEoR9MNdVw,Assi,,,1935-1955,True,False,False,True,train,False,False
Assi_NaAkPN4Ygn3MYTB7gQd8NR,Assi,5.0,Majority low-income zone,1935-1955,True,True,True,True,val,False,False
Assi_MTMAkdtMkqaffrSauZRH5G,Assi,5.0,Majority low-income zone,1935-1955,True,True,True,True,test,False,True
Assi_YgKXTwDRHZgFGusgE9898f,Assi,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,test,False,True
Assi_FmJMk5MaVKGDxyxXsrXibo,Assi,,Approximately 50% low-income zone,1935-1955,True,False,False,True,train,False,False
Assi_69HUhoExGkAJnbmk49XiCj,Assi,3.0,Minority low-income zone,1956-1971,False,True,False,False,train,False,False
Assi_dCttUWDu55gAs7LMDjTPbz,Assi,6.0,Not low-income zone,1956-1971,True,True,True,True,test,False,False
Assi_dUogyeom6Vk68rPSvaZPha,Assi,,Not low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_XegQaPG6KvRrQWNopcEu6Y,Assi,,Majority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_AfSTPjyKz6yrhHAZHBzvDD,Assi,,Majority low-income zone,1956-1971,True,False,False,True,val,False,False
Assi_VkNhzGrTW6E6nUZxAjc4B2,Assi,,Approximately 50% low-income zone,1956-1971,True,False,False,True,val,False,False
Assi_CJ38QVNZrY4roZ4AEv9N6D,Assi,,Majority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_bKWTniTzgJC2ymiHh5hxVP,Assi,,Majority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_XuGg2UjqgwwAezAJ7WHqsD,Assi,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_fe7psM4ByeRZoUiacYK3AV,Assi,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_oPqJLwRuEEf6jtEdME5bZA,Assi,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_VXuaByMQoetawcKdtZVncD,Assi,,Minority low-income zone,1956-1971,True,False,False,True,val,False,False
Assi_LJEay63Qd8J9ezc9dQVto5,Assi,,Minority low-income zone,1956-1971,True,False,False,True,train,False,False
Assi_mGtrbnx7QVBHDM5ZtfqKon,Assi,,Minority low-income zone,1956-1971,True,False,False,True,val,False,False
Assi_6abQ2bAQ2HrRFUEvmxJqEg,Assi,,,1935-1955,True,False,False,True,train,False,False
Assi_cZScXoErUDRdyj3DaLjD9D,Assi,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
BHI_4H22RiuHQiXUYUWTdeB3yz,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_ZV3po9XY9eH2CSCbT5koUY,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_VnPRh4J48xAaArcuDwUQB7,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_HTjY3swLNjVVN5zxjE4tqi,BHI,,,pre1935,True,False,False,True,val,False,False
BHI_WTCDbL3NzZvubT3YTwvouR,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,test,False,False
BHI_YhzsoV76Ly2a8Po2H83KPk,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_LKbhoXmK6N3MSRaDZeEDCe,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
BHI_3Ay79o3K7Hy9jXMtVnyeK6,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
BHI_Eosk8ZXAo5AtNegyioXDZi,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_bKAf6eT2dhhnJsoFGUbntX,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_Zr5VGjHonPKnKxGR8yZHvL,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_GhJuW9SV3PUciEyyhEjR4W,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_XXxxQPVfUAxh6DQ75VA3uV,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_auVa2vBsarxevFNSmSQmHd,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,val,False,False
BHI_C5CYrd3VznYexZvAm96wHg,BHI,3.0,Approximately 50% low-income zone,pre1935,True,True,True,True,train,False,False
BHI_EEr7QSNhmzxKyVs9iHeYib,BHI,,,pre1935,True,False,False,True,val,False,False
BHI_evS6UA88U9CgfphJj9jyC2,BHI,,,pre1935,True,False,False,True,train,False,False
BHI_cG6BQnriwe3mZbwySD9ufr,BHI,,,pre1935,True,False,False,True,train,False,False
BUL_4isodWKubc4ghYCRb6xjym,BUL,5.0,Not low-income zone,post1990,True,True,True,True,train,False,False
BUL_kuiKJEuvSSHBNRRLnLyqeu,BUL,4.0,Not low-income zone,post1990,True,True,True,True,train,False,False
BUL_Nesj58eUoQaf8Y3AMc8QuX,BUL,6.0,Not low-income zone,post1990,True,True,True,True,test,False,False
BUL_T5AnhAYpVaodxKarcMqUZv,BUL,4.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_g9Z2xRngXph8Qasx3ppHkU,BUL,7.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_issb5svoL95hrcrDkEc3Mw,BUL,2.0,Minority low-income zone,post1990,False,True,False,False,train,False,False
BUL_hJk76N5rYjTPVtzynLo5TQ,BUL,4.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_HrryiY8xvVruNRnLRAeoYi,BUL,10.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_gc5RTnePWgbj2tmoswvpA6,BUL,,,post1990,True,False,False,True,train,False,False
BUL_5GAXw6FfSRaqvGF7LiEXDy,BUL,14.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_4WECDtapKYE3iK3mmMjthr,BUL,10.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_4DktZMrzywaHP59h4NW5Mj,BUL,12.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_AHLZ6Dk5MzdQZz8Zz487BQ,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_WX2UFQEZQcoFmR3ay8ExsM,BUL,15.0,Majority low-income zone,post1990,True,True,True,True,val,False,False
BUL_mEM6B6MhGmVbTopMwdukS4,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_XX8SMZxnsFz57xJnEZLdJ2,BUL,8.0,Majority low-income zone,1956-1971,True,True,True,True,train,False,False
BUL_66kLvtfrakYYQFRBb2xnE2,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_Arng5rSjPbmRLEM4VwHQJV,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_BitXoR8Zk7xrhXHSyDNmY7,BUL,7.0,Majority low-income zone,post1990,True,True,True,True,test,False,True
BUL_GPSSFyEzVveejDrqVNwh93,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_XfpqqHna8HKNBLXayac9wP,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_LvLys3hhYLqKXs29rxSpFH,BUL,9.0,Majority low-income zone,1956-1971,True,True,True,True,train,False,False
BUL_i2xf5MpG5c98xSrWh6VJP3,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_3FiNczBzzU5eoVLyhC2EjS,BUL,6.0,Majority low-income zone,1935-1955,True,True,True,True,train,False,False
BUL_2Gf82263WKApfQx4w822HW,BUL,,Not low-income zone,1972-1990,True,False,False,True,train,False,False
BUL_AqTXtqUfjYM4Pn64V7VN2B,BUL,4.0,Not low-income zone,post1990,True,True,True,True,train,False,False
BUL_RNuN2E73U49iHsGqkibcAH,BUL,11.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_n3imcySpmFoFN3zbU4aCZ7,BUL,12.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_YzRtpxgxgk8GHz5ESwHTas,BUL,11.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_5i3dwdamqM8p6NC2CAbShT,BUL,13.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_Vq9uMMsqMX8vqN8JjNFAPR,BUL,10.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_A5opFwBMT3rXupBBnMrL24,BUL,11.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_E3iGL8ZbQHynBUJMCNir9m,BUL,11.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_XWswdPBKiAKMKHFBbmv2Xv,BUL,11.0,Minority low-income zone,post1990,False,True,False,False,train,False,False
BUL_nUvFDpJdhr5c6Fav5bPPUL,BUL,,Minority low-income zone,post1990,True,False,False,True,train,False,False
BUL_UfsRTVErv7pJnG826bByUq,BUL,8.0,Minority low-income zone,post1990,True,True,True,True,test,False,False
BUL_HWT5E4oWHk5dA4hnGc9TXy,BUL,10.0,Minority low-income zone,post1990,False,True,False,False,train,False,False
BUL_Qayaei8LmRMm8psY3WhV78,BUL,9.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_edZHCGAPZznkWQf7uxWfrd,BUL,10.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_d7gRAGtisnyVVYc83a5kHk,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_PXjBYwS4mh62tc4oSAQvT9,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_cv7ULpmuRDLgoCy9hXXfe9,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,val,False,False
BUL_WbD38UrqtgLd9SRp4Quc4v,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_PzAzcyEkeM8giXqSp3ETM9,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,test,False,True
BUL_M362BqYcGT7m3GpFWnRYDT,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_jP2huU7GD9gNJyxzZUtbWL,BUL,12.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_U2JfJspPVqpAXxa7iWEzMk,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_a9jqscCESpkdRUtyA5zqMd,BUL,16.0,Majority low-income zone,post1990,True,True,True,True,val,False,False
BUL_edrt2KAAyDkrYFWwACcNVJ,BUL,12.0,Majority low-income zone,1972-1990,True,True,True,True,test,False,False
BUL_7emHPnT9TNG3xkwQUB9mQC,BUL,12.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_4FLBmAkoy4w9wn35oCvFoH,BUL,8.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_kEBbn8HLJUGasgCnWrRoDD,BUL,12.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_Gokz2xFzk3JdpCkyWv23sW,BUL,7.0,Majority low-income zone,post1990,True,True,True,True,val,False,False
BUL_Pc9YhRNysoLoituoopHUrC,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_hEqbqnUHntzziamwinR8tY,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,test,False,True
BUL_6VziAXEoKEdQrHZLHx5ZwQ,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_Su3evqSnCF264i9Mn96PKw,BUL,11.0,Majority low-income zone,post1990,True,True,True,True,test,False,True
BUL_Bi33WyfHFn68gQRzjtTsm3,BUL,12.0,Majority low-income zone,post1990,True,True,True,True,test,False,True
BUL_9Rc7LTbf2VjE5tVgemSraX,BUL,10.0,Majority low-income zone,1972-1990,True,True,True,True,train,False,False
BUL_MyeUciXM2g3fXmGQoTvnne,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_UN9GdzRkcaPpEzMf76YXLs,BUL,8.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_LFDyFrejcDYxY5jDuxXTxJ,BUL,8.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_nGR9yjYxx4WDERKN3uZBF9,BUL,8.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_6ofoDGppWcxX7TaTFYSPCH,BUL,8.0,Majority low-income zone,1972-1990,True,True,True,True,test,False,False
BUL_QWmCAJzhBGaKLBhEnSLwfY,BUL,,Majority low-income zone,1956-1971,True,False,False,True,train,False,False
BUL_nEWqX6fhQjARz7qiHVac4i,BUL,,Majority low-income zone,1956-1971,True,False,False,True,train,False,False
BUL_6TzJzV8TGKxqbEoLkEkyaN,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_Cnc46upkJE5jQZpbFVHapf,BUL,7.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_Hfy2kpFYVMsz4Za8ksk3wp,BUL,8.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_n7VMbvVBAohxW5hsBathzW,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_BtaS4GtPvEFkbFoNe2nkAd,BUL,9.0,Majority low-income zone,post1990,True,True,True,True,test,False,False
BUL_NHdFU5cV6gSHuqMe4axZ5h,BUL,,Majority low-income zone,1972-1990,True,False,False,True,train,False,False
BUL_jY3dyW4SjiZkMn5EFpnFqp,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_hSpUdWRDrNP3tEK9iGFy2q,BUL,9.0,Majority low-income zone,1972-1990,True,True,True,True,train,False,False
BUL_C5cigAHjcLvcKywhPwu6jn,BUL,10.0,Majority low-income zone,post1990,True,True,True,True,train,False,False
BUL_gPjBaQk4nM8vaxY4etF5Xd,BUL,10.0,Minority low-income zone,post1990,True,True,True,True,val,False,False
BUL_Z2wckSQtNj6xLwWP9MFoFT,BUL,6.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
BUL_S4GvgAJdq8btq4ZrR34zQn,BUL,8.0,Minority low-income zone,post1990,True,True,True,True,train,False,False
